feature,importance
A_comm,0.12864923500919212
A9,0.12559889873085378
A_social,0.08119776583596103
A_imaginative,0.06579523347229455
Ethnicity_ME,0.05002794895499511
Age_Years,0.04443907946403114
A6,0.043694741982699514
Sex_M,0.04336989023944909
A4,0.0432529997405371
A8,0.0427170077215751
A7,0.04142947333729509
Is_Toddler,0.039333725717029644
Is_Child,0.037396125220711285
Qchat_x_Social,0.03715311780475695
Ethnicity_WE,0.03137696416197619
A1,0.029401801408532418
A5,0.026379130629874643
Ethnicity_SA,0.020594547615363584
A10,0.01584717436702781
A2,0.015524275341627359
Clinical_Flag_Count,0.012591733584868356
Jaundice,0.012574718730708714
A3,0.01165442955509088
